event_id,timestamp,language_pair,ai_model_version,ai_model_provider,customer_tier,traffic_volume,content_type,sentence_length_words,latency_ms,user_edit_distance,quality_score
23,2026-04-01,en-fr,v1,Gemini,premium,high,legal,46,498,0.5679,0.4387
24,2026-04-01,en-it,v1,OpenAI,free,high,support_ticket,23,337,0.2924,0.7571
25,2026-04-01,en-fr,v1,Internal,free,medium,support_ticket,14,458,0.2947,0.6934
26,2026-04-01,en-es,v1,OpenAI,free,medium,documentation,36,296,0.399,0.5996
27,2026-04-01,en-es,v1,Internal,free,high,support_ticket,30,421,0.2853,0.7002
28,2026-04-01,en-ja,v1,Gemini,premium,high,documentation,33,406,0.8812,0.1261
29,2026-04-01,en-de,v1,Internal,free,medium,support_ticket,53,368,0.587,0.4044
30,2026-04-01,en-el,v1,OpenAI,free,low,documentation,27,291,0.5181,0.4771
31,2026-04-01,en-pt,v1,Internal,premium,medium,documentation,25,314,0.3383,0.6177
32,2026-04-01,en-pt,v1,Gemini,premium,high,marketing,49,397,0.4398,0.5705
33,2026-04-01,en-es,v1,Gemini,free,high,support_ticket,25,411,0.3156,0.6432
34,2026-04-01,en-fr,v1,Internal,free,low,marketing,21,429,0.4981,0.5125
35,2026-04-01,en-el,v1,Internal,enterprise,low,documentation,33,514,0.6567,0.3549
36,2026-04-01,en-it,v1,Gemini,premium,low,marketing,27,448,0.4693,0.4783
37,2026-04-02,en-pt,v1,Internal,enterprise,high,legal,52,402,0.5424,0.4545
38,2026-04-02,en-pt,v1,OpenAI,enterprise,medium,documentation,32,437,0.3679,0.6209
39,2026-04-02,en-de,v1,OpenAI,free,medium,documentation,47,416,0.4827,0.4857
40,2026-04-02,en-es,v1,Gemini,enterprise,medium,legal,72,524,0.6098,0.4034
41,2026-04-02,en-es,v1,Internal,premium,medium,documentation,49,466,0.3495,0.6448
42,2026-04-02,en-it,v1,OpenAI,premium,low,marketing,10,349,0.412,0.5725
43,2026-04-02,en-de,v1,OpenAI,enterprise,high,support_ticket,22,379,0.3703,0.6391
44,2026-04-02,en-es,v1,OpenAI,premium,medium,documentation,35,516,0.3861,0.552
45,2026-04-02,en-es,v1,Internal,free,low,marketing,20,385,0.4581,0.5663
46,2026-04-02,en-zh,v1,OpenAI,enterprise,medium,legal,35,410,0.95,0.0615
47,2026-04-02,en-el,v1,Internal,free,high,documentation,26,432,0.508,0.5173
48,2026-04-02,en-es,v1,OpenAI,premium,high,legal,58,407,0.6597,0.2801
49,2026-04-02,en-de,v1,OpenAI,free,medium,support_ticket,12,323,0.3437,0.6325
50,2026-04-02,en-el,v1,Gemini,enterprise,low,legal,21,391,0.6649,0.3488
51,2026-04-02,en-el,v1,Gemini,premium,medium,legal,62,451,0.7753,0.2035
52,2026-04-02,en-de,v1,Gemini,free,high,support_ticket,26,412,0.423,0.6018
53,2026-04-02,en-pt,v1,OpenAI,free,high,support_ticket,17,402,0.3462,0.6597
54,2026-04-02,en-pt,v1,Internal,free,medium,support_ticket,35,369,0.3616,0.6205
55,2026-04-02,en-pt,v1,Internal,free,high,marketing,32,443,0.3878,0.581
56,2026-04-02,en-el,v1,Gemini,premium,low,support_ticket,17,355,0.4885,0.4919
57,2026-04-02,en-ja,v1,Internal,premium,low,support_ticket,34,331,0.8896,0.1424
58,2026-04-02,en-fr,v1,OpenAI,free,medium,legal,54,544,0.6628,0.3393
59,2026-04-02,en-it,v1,Gemini,premium,medium,documentation,34,369,0.3991,0.5532
60,2026-04-02,en-it,v1,OpenAI,free,medium,documentation,68,362,0.5198,0.4907
61,2026-04-02,en-ja,v1,Internal,premium,medium,support_ticket,19,351,0.9154,0.0848
62,2026-04-02,en-ja,v1,OpenAI,premium,high,documentation,42,409,0.9324,0.05
63,2026-04-02,en-es,v1,Gemini,premium,low,support_ticket,27,441,0.3863,0.6051
64,2026-04-02,en-ja,v1,OpenAI,free,high,marketing,16,330,0.8704,0.1705
65,2026-04-02,en-zh,v1,Gemini,free,medium,support_ticket,18,446,0.9239,0.0593
66,2026-04-02,en-pt,v1,Internal,free,medium,support_ticket,21,440,0.3581,0.662
67,2026-04-02,en-zh,v1,Gemini,enterprise,medium,support_ticket,16,408,0.8701,0.172
68,2026-04-02,en-pt,v1,OpenAI,enterprise,medium,marketing,31,363,0.4312,0.5553
69,2026-04-02,en-it,v1,Gemini,free,medium,marketing,26,372,0.3473,0.6021
70,2026-04-02,en-pt,v1,Internal,premium,medium,support_ticket,20,359,0.3292,0.6921
71,2026-04-02,en-it,v1,OpenAI,premium,high,support_ticket,44,401,0.3961,0.5813
72,2026-04-02,en-el,v1,Internal,premium,medium,documentation,25,440,0.5393,0.4622
73,2026-04-02,en-de,v1,Gemini,free,low,documentation,27,431,0.4722,0.4844
74,2026-04-02,en-ja,v1,Gemini,premium,medium,documentation,21,494,0.9426,0.05
75,2026-04-02,en-zh,v1,Internal,enterprise,high,support_ticket,15,539,0.8396,0.1251
76,2026-04-02,en-zh,v1,OpenAI,enterprise,high,support_ticket,24,320,0.912,0.05
77,2026-04-02,en-ja,v1,Internal,enterprise,medium,documentation,18,385,0.8982,0.14
78,2026-04-02,en-es,v1,OpenAI,enterprise,high,support_ticket,25,452,0.2566,0.7123
79,2026-04-03,en-zh,v1,OpenAI,enterprise,high,support_ticket,28,383,0.8509,0.1927
80,2026-04-03,en-pt,v1,OpenAI,premium,medium,support_ticket,25,395,0.3085,0.7324
81,2026-04-03,en-el,v1,OpenAI,free,high,marketing,15,401,0.5203,0.4711
82,2026-04-03,en-pt,v1,Internal,free,medium,support_ticket,13,543,0.334,0.6712
83,2026-04-03,en-es,v1,OpenAI,premium,high,documentation,22,429,0.2571,0.7312
84,2026-04-03,en-es,v1,OpenAI,free,low,documentation,42,367,0.3994,0.6059
85,2026-04-03,en-es,v1,OpenAI,enterprise,high,documentation,25,415,0.3271,0.6217
86,2026-04-03,en-de,v1,Internal,premium,high,documentation,46,377,0.5073,0.4532
87,2026-04-03,en-it,v1,Gemini,enterprise,medium,documentation,40,409,0.4174,0.6071
88,2026-04-03,en-es,v1,Internal,premium,high,documentation,29,391,0.3329,0.6908
89,2026-04-03,en-it,v1,OpenAI,enterprise,medium,marketing,16,284,0.4728,0.5024
90,2026-04-03,en-zh,v1,Gemini,free,medium,marketing,16,405,0.95,0.05
91,2026-04-03,en-es,v1,Internal,premium,medium,documentation,42,458,0.375,0.6246
92,2026-04-03,en-el,v1,OpenAI,free,medium,marketing,11,461,0.5271,0.4623
93,2026-04-03,en-pt,v1,OpenAI,free,medium,support_ticket,13,507,0.261,0.7475
94,2026-04-03,en-fr,v1,OpenAI,premium,high,legal,48,408,0.5847,0.4237
95,2026-04-03,en-el,v1,Internal,free,low,marketing,8,491,0.6351,0.3343
96,2026-04-03,en-es,v1,OpenAI,enterprise,medium,support_ticket,26,366,0.3183,0.6821
97,2026-04-03,en-el,v1,OpenAI,premium,high,legal,71,471,0.7461,0.2731
98,2026-04-03,en-de,v1,Gemini,premium,medium,support_ticket,27,312,0.4528,0.5497
99,2026-04-03,en-es,v1,OpenAI,premium,high,marketing,28,501,0.4515,0.5489
100,2026-04-03,en-zh,v1,Internal,free,medium,marketing,11,415,0.8952,0.1587
101,2026-04-03,en-zh,v1,OpenAI,enterprise,high,support_ticket,20,410,0.7713,0.2063
102,2026-04-03,en-es,v1,Gemini,premium,high,documentation,33,483,0.4073,0.6235
103,2026-04-03,en-fr,v1,OpenAI,premium,medium,marketing,20,485,0.5079,0.4881
104,2026-04-03,en-ja,v1,Gemini,premium,low,legal,39,389,0.95,0.05
105,2026-04-03,en-de,v1,OpenAI,premium,low,legal,32,506,0.5683,0.3968
106,2026-04-03,en-de,v1,Internal,enterprise,medium,documentation,33,259,0.5171,0.4947
107,2026-04-03,en-zh,v1,OpenAI,enterprise,high,support_ticket,16,505,0.7953,0.2598
108,2026-04-03,en-el,v1,Gemini,free,high,marketing,17,441,0.6184,0.477
109,2026-04-03,en-it,v1,OpenAI,premium,high,documentation,29,421,0.4134,0.595
110,2026-04-03,en-de,v1,Gemini,premium,medium,marketing,22,333,0.4808,0.5174
111,2026-04-03,en-es,v1,OpenAI,free,low,support_ticket,19,417,0.2912,0.7172
112,2026-04-03,en-fr,v1,Gemini,premium,medium,documentation,17,406,0.3519,0.645
113,2026-04-03,en-it,v1,Internal,enterprise,high,support_ticket,14,437,0.2758,0.7615
114,2026-04-03,en-it,v1,OpenAI,enterprise,medium,documentation,28,422,0.3516,0.639
115,2026-04-03,en-el,v1,OpenAI,premium,medium,support_ticket,12,426,0.5175,0.478
116,2026-04-03,en-ja,v1,OpenAI,free,high,documentation,22,355,0.8881,0.0893
117,2026-04-03,en-it,v1,Gemini,free,high,documentation,52,451,0.4946,0.5463
118,2026-04-03,en-de,v1,Gemini,enterprise,high,marketing,14,532,0.4975,0.4974
119,2026-04-03,en-es,v1,Internal,free,low,documentation,40,518,0.4324,0.5768
120,2026-04-03,en-de,v1,Internal,free,low,support_ticket,29,473,0.452,0.5627
121,2026-04-03,en-es,v1,Internal,premium,low,documentation,12,201,0.3272,0.6211
122,2026-04-03,en-de,v1,Internal,free,low,marketing,29,554,0.5207,0.4792
123,2026-04-03,en-it,v1,Internal,enterprise,medium,support_ticket,21,338,0.3409,0.6514
124,2026-04-03,en-es,v1,OpenAI,free,low,marketing,17,457,0.4225,0.5475
125,2026-04-03,en-de,v1,Internal,premium,medium,support_ticket,25,328,0.4534,0.5535
126,2026-04-03,en-de,v1,Internal,free,medium,support_ticket,24,391,0.4164,0.6097
127,2026-04-03,en-pt,v1,Internal,premium,medium,legal,54,427,0.5795,0.4244
128,2026-04-03,en-fr,v1,Gemini,free,medium,documentation,43,440,0.4176,0.6025
129,2026-04-03,en-zh,v1,Internal,free,medium,support_ticket,36,320,0.8375,0.1312
130,2026-04-03,en-zh,v1,Gemini,free,low,support_ticket,27,438,0.8528,0.1595
131,2026-04-03,en-es,v1,OpenAI,enterprise,medium,documentation,35,482,0.3673,0.6683
132,2026-04-04,en-ja,v1,OpenAI,free,medium,support_ticket,21,386,0.9169,0.1073
133,2026-04-04,en-pt,v1,Internal,premium,medium,documentation,36,368,0.3357,0.6482
134,2026-04-04,en-it,v1,Internal,enterprise,high,support_ticket,20,566,0.3449,0.6137
135,2026-04-04,en-zh,v1,Gemini,free,medium,support_ticket,25,507,0.8256,0.1607
136,2026-04-04,en-fr,v1,Internal,free,medium,marketing,21,415,0.5175,0.4766
137,2026-04-04,en-ja,v1,Gemini,enterprise,low,documentation,37,588,0.95,0.05
138,2026-04-04,en-fr,v1,Internal,free,high,marketing,18,395,0.45,0.5081
139,2026-04-04,en-zh,v1,Internal,premium,medium,marketing,18,430,0.95,0.05
140,2026-04-04,en-el,v1,Internal,free,high,documentation,49,487,0.6584,0.36
141,2026-04-04,en-es,v1,Gemini,free,high,support_ticket,13,498,0.2667,0.7585
142,2026-04-04,en-es,v1,Internal,premium,high,support_ticket,22,488,0.3286,0.6606
143,2026-04-04,en-fr,v1,OpenAI,free,low,marketing,13,408,0.4219,0.57
144,2026-04-04,en-zh,v1,Internal,free,high,marketing,13,378,0.8907,0.1508
145,2026-04-04,en-de,v1,OpenAI,free,high,support_ticket,21,523,0.4227,0.5077
146,2026-04-04,en-de,v1,Gemini,enterprise,low,marketing,21,481,0.5052,0.5257
147,2026-04-04,en-el,v1,OpenAI,free,medium,legal,61,420,0.7675,0.2767
148,2026-04-04,en-it,v1,Internal,free,medium,marketing,16,360,0.3622,0.612
149,2026-04-04,en-de,v1,Internal,free,low,support_ticket,14,412,0.3191,0.6509
150,2026-04-04,en-fr,v1,Internal,premium,medium,support_ticket,25,340,0.3813,0.6444
151,2026-04-04,en-zh,v1,Internal,free,medium,marketing,16,456,0.9264,0.0693
152,2026-04-04,en-el,v1,OpenAI,enterprise,low,documentation,68,346,0.7382,0.234
153,2026-04-04,en-el,v1,Gemini,free,medium,marketing,20,380,0.6154,0.3644
154,2026-04-04,en-fr,v1,OpenAI,free,medium,marketing,24,408,0.438,0.5406
155,2026-04-04,en-zh,v1,Gemini,free,medium,marketing,11,417,0.95,0.0887
156,2026-04-04,en-zh,v1,OpenAI,free,medium,legal,61,453,0.95,0.067
157,2026-04-04,en-it,v1,Gemini,premium,medium,legal,21,439,0.4864,0.4898
158,2026-04-04,en-de,v1,Gemini,free,low,documentation,54,521,0.4699,0.5141
159,2026-04-04,en-de,v1,OpenAI,enterprise,high,support_ticket,20,478,0.3498,0.6957
160,2026-04-04,en-de,v1,OpenAI,premium,medium,support_ticket,28,524,0.4383,0.5473
161,2026-04-04,en-ja,v1,Internal,free,medium,documentation,34,369,0.9098,0.1101
162,2026-04-04,en-es,v1,OpenAI,free,high,support_ticket,19,382,0.3343,0.6664
163,2026-04-04,en-ja,v1,Gemini,premium,low,support_ticket,33,299,0.8048,0.2191
164,2026-04-04,en-de,v1,Gemini,free,high,support_ticket,44,430,0.5171,0.4697
165,2026-04-04,en-de,v1,Internal,premium,high,documentation,20,350,0.4002,0.5708
166,2026-04-04,en-it,v1,Internal,free,high,documentation,45,271,0.4012,0.5689
167,2026-04-04,en-it,v1,OpenAI,premium,low,documentation,46,444,0.3846,0.6323
168,2026-04-04,en-zh,v1,Internal,premium,medium,marketing,27,386,0.9033,0.0961
169,2026-04-04,en-pt,v1,OpenAI,premium,medium,marketing,10,464,0.3894,0.5542
170,2026-04-04,en-es,v1,Gemini,premium,high,legal,92,459,0.6311,0.4502
171,2026-04-04,en-it,v1,OpenAI,premium,low,documentation,29,558,0.326,0.6838
172,2026-04-04,en-es,v1,Internal,enterprise,low,documentation,42,441,0.3269,0.7305
173,2026-04-04,en-it,v1,Gemini,enterprise,medium,documentation,32,474,0.363,0.585
174,2026-04-04,en-fr,v1,Gemini,free,high,marketing,28,477,0.5261,0.4285
175,2026-04-04,en-es,v1,Internal,enterprise,low,support_ticket,24,430,0.355,0.6537
176,2026-04-04,en-es,v1,Internal,premium,medium,support_ticket,20,425,0.2412,0.7963
177,2026-04-04,en-zh,v1,Gemini,premium,high,support_ticket,36,447,0.8356,0.1083
178,2026-04-04,en-fr,v1,Internal,premium,high,marketing,10,400,0.4782,0.5157
179,2026-04-04,en-it,v1,Gemini,premium,high,marketing,22,450,0.4446,0.5428
180,2026-04-04,en-pt,v1,OpenAI,enterprise,medium,support_ticket,16,479,0.4103,0.6188
181,2026-04-05,en-de,v1,Gemini,free,medium,support_ticket,23,469,0.3865,0.6411
182,2026-04-05,en-ja,v1,Internal,enterprise,low,support_ticket,16,434,0.7864,0.2111
183,2026-04-05,en-es,v1,Gemini,premium,medium,documentation,27,336,0.3637,0.6794
184,2026-04-05,en-it,v1,OpenAI,enterprise,medium,support_ticket,19,400,0.3108,0.7045
185,2026-04-05,en-el,v1,Internal,premium,medium,documentation,78,527,0.6791,0.3316
186,2026-04-05,en-pt,v1,Internal,free,medium,support_ticket,31,342,0.3493,0.6099
187,2026-04-05,en-it,v1,OpenAI,free,low,marketing,17,408,0.3308,0.6643
188,2026-04-05,en-zh,v1,Gemini,free,low,marketing,21,426,0.9478,0.062
189,2026-04-05,en-it,v1,Internal,free,medium,support_ticket,24,383,0.358,0.6413
190,2026-04-05,en-es,v1,Internal,free,medium,documentation,39,462,0.3257,0.6388
191,2026-04-05,en-zh,v1,Gemini,free,low,support_ticket,20,293,0.8424,0.1563
192,2026-04-05,en-es,v1,Gemini,free,medium,documentation,47,319,0.3076,0.6987
193,2026-04-05,en-fr,v1,OpenAI,premium,high,legal,30,405,0.3913,0.6031
194,2026-04-05,en-de,v1,OpenAI,free,low,support_ticket,10,453,0.4228,0.5865
195,2026-04-05,en-de,v1,OpenAI,free,medium,support_ticket,28,364,0.3641,0.6814
196,2026-04-05,en-pt,v1,Gemini,premium,medium,support_ticket,35,313,0.3469,0.6291
197,2026-04-05,en-fr,v1,Gemini,free,low,documentation,28,337,0.3636,0.6176
198,2026-04-05,en-es,v1,Internal,enterprise,medium,marketing,15,371,0.4138,0.5518
199,2026-04-05,en-es,v1,Internal,enterprise,medium,marketing,23,421,0.3561,0.6373
200,2026-04-05,en-fr,v1,OpenAI,enterprise,medium,support_ticket,22,287,0.4013,0.6091
201,2026-04-05,en-de,v1,Internal,enterprise,low,marketing,17,279,0.4396,0.5887
202,2026-04-05,en-ja,v1,OpenAI,premium,high,marketing,16,442,0.9272,0.0864
203,2026-04-05,en-de,v1,Gemini,free,high,documentation,34,495,0.516,0.4414
204,2026-04-05,en-it,v1,OpenAI,free,high,marketing,16,437,0.4127,0.5797
205,2026-04-05,en-de,v1,Gemini,enterprise,medium,documentation,97,439,0.5,0.4772
206,2026-04-05,en-es,v1,Internal,enterprise,medium,marketing,19,279,0.4684,0.5793
207,2026-04-05,en-zh,v1,Internal,free,medium,marketing,18,436,0.9142,0.1183
208,2026-04-05,en-pt,v1,Internal,enterprise,medium,support_ticket,13,275,0.3251,0.6943
209,2026-04-05,en-de,v1,Gemini,premium,medium,marketing,16,389,0.4788,0.5594
210,2026-04-05,en-ja,v1,Gemini,premium,low,support_ticket,25,465,0.8033,0.2006
211,2026-04-05,en-zh,v1,OpenAI,premium,medium,legal,72,433,0.95,0.0501
212,2026-04-05,en-fr,v1,OpenAI,free,high,documentation,36,406,0.4203,0.5313
213,2026-04-05,en-pt,v1,Gemini,enterprise,low,documentation,20,387,0.2839,0.753
214,2026-04-05,en-zh,v1,OpenAI,enterprise,low,marketing,17,387,0.95,0.05
215,2026-04-05,en-fr,v1,Gemini,enterprise,medium,support_ticket,25,562,0.3415,0.6063
216,2026-04-05,en-zh,v1,OpenAI,premium,medium,marketing,7,534,0.8982,0.0882
217,2026-04-05,en-it,v1,Gemini,enterprise,high,support_ticket,9,413,0.3413,0.6283
218,2026-04-05,en-es,v1,Internal,free,low,legal,30,336,0.5321,0.448
219,2026-04-05,en-it,v1,Gemini,free,high,legal,39,422,0.5308,0.4665
220,2026-04-05,en-el,v1,OpenAI,premium,medium,documentation,48,408,0.5384,0.437
221,2026-04-05,en-ja,v1,OpenAI,free,high,documentation,22,373,0.9152,0.0675
222,2026-04-05,en-es,v1,Gemini,free,medium,support_ticket,17,386,0.283,0.75
223,2026-04-05,en-fr,v1,Gemini,premium,medium,documentation,35,373,0.3446,0.6365
224,2026-04-05,en-ja,v1,Internal,premium,low,marketing,24,588,0.9387,0.05
225,2026-04-05,en-de,v1,Internal,premium,medium,support_ticket,24,432,0.3694,0.597
226,2026-04-05,en-de,v1,Gemini,premium,medium,support_ticket,15,492,0.4384,0.5948
227,2026-04-05,en-el,v1,OpenAI,free,low,documentation,34,401,0.5773,0.3671
228,2026-04-05,en-es,v1,Gemini,free,high,marketing,15,446,0.4057,0.5852
229,2026-04-05,en-ja,v1,Gemini,free,high,documentation,34,477,0.9168,0.05
230,2026-04-05,en-pt,v1,Internal,free,medium,marketing,15,475,0.4374,0.5771
231,2026-04-05,en-fr,v1,Internal,enterprise,medium,support_ticket,27,460,0.3279,0.6979
232,2026-04-06,en-es,v1,Internal,enterprise,high,legal,48,444,0.4797,0.5376
233,2026-04-06,en-es,v1,OpenAI,premium,high,support_ticket,16,420,0.2836,0.7428
234,2026-04-06,en-ja,v1,Internal,free,high,documentation,23,459,0.8702,0.1106
235,2026-04-06,en-fr,v1,OpenAI,free,low,marketing,14,482,0.4274,0.5844
236,2026-04-06,en-ja,v1,OpenAI,premium,low,documentation,50,429,0.95,0.05
237,2026-04-06,en-ja,v1,Internal,free,medium,documentation,28,348,0.8723,0.0958
238,2026-04-06,en-pt,v1,OpenAI,premium,medium,marketing,10,505,0.4276,0.5587
239,2026-04-06,en-fr,v1,Gemini,premium,medium,documentation,37,452,0.3322,0.6985
240,2026-04-06,en-pt,v1,OpenAI,free,low,documentation,28,447,0.2802,0.7063
241,2026-04-06,en-es,v1,Internal,free,high,legal,45,350,0.5504,0.4506
242,2026-04-06,en-pt,v1,Internal,enterprise,high,legal,57,244,0.5773,0.4584
243,2026-04-06,en-it,v1,OpenAI,premium,low,documentation,20,481,0.3008,0.6416
244,2026-04-06,en-ja,v1,OpenAI,free,high,documentation,24,463,0.929,0.05
245,2026-04-06,en-zh,v1,OpenAI,premium,medium,legal,84,350,0.95,0.05
246,2026-04-06,en-ja,v1,OpenAI,free,medium,legal,22,311,0.95,0.05
247,2026-04-06,en-pt,v1,OpenAI,premium,high,marketing,19,380,0.3376,0.6689
248,2026-04-06,en-fr,v1,Internal,enterprise,medium,documentation,28,381,0.3874,0.6045
249,2026-04-06,en-fr,v1,Gemini,free,medium,support_ticket,21,467,0.3331,0.6598
250,2026-04-06,en-fr,v1,Gemini,premium,medium,marketing,23,433,0.3723,0.6749
251,2026-04-06,en-fr,v1,OpenAI,enterprise,medium,documentation,32,402,0.3546,0.6513
252,2026-04-06,en-pt,v1,OpenAI,free,high,documentation,42,477,0.3954,0.6072
253,2026-04-06,en-it,v1,Gemini,premium,high,support_ticket,47,380,0.3872,0.6259
254,2026-04-06,en-ja,v1,Gemini,enterprise,low,documentation,23,457,0.941,0.05
255,2026-04-06,en-es,v1,Internal,free,low,documentation,61,418,0.4397,0.5405
256,2026-04-06,en-ja,v1,OpenAI,premium,high,legal,50,339,0.95,0.05
257,2026-04-06,en-es,v1,Gemini,free,medium,support_ticket,34,459,0.3328,0.6553
258,2026-04-06,en-de,v1,OpenAI,premium,low,marketing,12,475,0.5133,0.5065
259,2026-04-06,en-fr,v1,Internal,free,high,documentation,44,426,0.4424,0.5239
260,2026-04-06,en-zh,v1,Gemini,free,medium,documentation,39,390,0.9037,0.05
261,2026-04-06,en-es,v1,Internal,enterprise,medium,support_ticket,24,401,0.3471,0.6477
262,2026-04-06,en-de,v1,OpenAI,enterprise,medium,marketing,15,301,0.4442,0.548
263,2026-04-06,en-pt,v1,Gemini,free,medium,marketing,18,365,0.318,0.6942
264,2026-04-06,en-ja,v1,Gemini,enterprise,high,documentation,45,391,0.9382,0.05
265,2026-04-06,en-el,v1,Internal,enterprise,high,support_ticket,29,467,0.5468,0.4794
266,2026-04-06,en-el,v1,Internal,enterprise,high,marketing,9,466,0.5604,0.4312
267,2026-04-06,en-zh,v1,Internal,enterprise,low,support_ticket,23,449,0.8451,0.1823
268,2026-04-06,en-de,v1,Gemini,premium,high,documentation,36,466,0.4797,0.537
269,2026-04-06,en-zh,v1,OpenAI,free,medium,documentation,37,388,0.95,0.0627
270,2026-04-06,en-de,v1,Internal,enterprise,high,documentation,39,398,0.4416,0.5659
271,2026-04-06,en-ja,v1,Gemini,premium,medium,support_ticket,19,443,0.95,0.05
272,2026-04-06,en-fr,v1,Gemini,enterprise,low,documentation,36,463,0.3971,0.5775
273,2026-04-06,en-de,v1,Internal,free,medium,legal,36,375,0.6305,0.3539
274,2026-04-06,en-zh,v1,Gemini,premium,high,legal,59,494,0.95,0.1344
275,2026-04-06,en-ja,v1,Internal,free,medium,legal,32,347,0.95,0.0601
276,2026-04-06,en-pt,v1,Gemini,free,low,support_ticket,19,434,0.413,0.5312
277,2026-04-06,en-pt,v1,Internal,enterprise,low,support_ticket,18,452,0.4055,0.6163
278,2026-04-06,en-pt,v1,Gemini,free,medium,documentation,18,420,0.3169,0.6767
279,2026-04-06,en-es,v1,OpenAI,enterprise,medium,documentation,43,402,0.4361,0.5502
280,2026-04-06,en-it,v1,Internal,premium,medium,marketing,25,526,0.5106,0.4634
281,2026-04-06,en-el,v1,Gemini,premium,high,support_ticket,13,373,0.5067,0.4959
282,2026-04-06,en-ja,v1,Internal,free,medium,legal,58,436,0.95,0.0646
283,2026-04-06,en-el,v1,Gemini,premium,medium,documentation,24,414,0.5382,0.4347
284,2026-04-07,en-fr,v1,Gemini,premium,medium,legal,57,325,0.5546,0.4231
285,2026-04-07,en-zh,v1,Internal,enterprise,high,marketing,22,482,0.8178,0.1467
286,2026-04-07,en-zh,v1,OpenAI,premium,high,documentation,15,428,0.7822,0.212
287,2026-04-07,en-de,v1,Gemini,free,high,documentation,18,444,0.4045,0.5628
288,2026-04-07,en-fr,v1,Internal,free,high,documentation,22,387,0.4499,0.4906
289,2026-04-07,en-el,v1,Gemini,enterprise,low,documentation,41,461,0.5988,0.4695
290,2026-04-07,en-de,v1,OpenAI,free,low,support_ticket,33,489,0.4333,0.5945
291,2026-04-07,en-el,v1,Internal,free,low,support_ticket,18,254,0.4749,0.512
292,2026-04-07,en-pt,v1,Gemini,premium,medium,documentation,54,469,0.4268,0.5816
293,2026-04-07,en-pt,v1,Gemini,premium,medium,documentation,31,554,0.3757,0.6162
294,2026-04-07,en-it,v1,OpenAI,free,medium,documentation,15,286,0.3608,0.6833
295,2026-04-07,en-fr,v1,OpenAI,enterprise,medium,marketing,19,390,0.446,0.5566
296,2026-04-07,en-zh,v1,Gemini,premium,low,legal,80,296,0.95,0.05
297,2026-04-07,en-el,v1,Gemini,free,low,documentation,59,459,0.6612,0.3574
298,2026-04-07,en-it,v1,OpenAI,enterprise,medium,support_ticket,23,492,0.3621,0.6851
299,2026-04-07,en-it,v1,Internal,premium,medium,support_ticket,53,487,0.4891,0.4993
300,2026-04-07,en-it,v1,Internal,free,low,marketing,17,398,0.5042,0.4226
301,2026-04-07,en-it,v1,Gemini,premium,high,marketing,16,328,0.4656,0.5189
302,2026-04-07,en-zh,v1,Gemini,premium,medium,support_ticket,32,302,0.848,0.1732
303,2026-04-07,en-it,v1,Internal,premium,medium,marketing,15,381,0.4193,0.5984
304,2026-04-07,en-ja,v1,OpenAI,premium,high,support_ticket,16,437,0.7859,0.2035
305,2026-04-07,en-zh,v1,OpenAI,free,medium,legal,26,486,0.9101,0.1306
306,2026-04-07,en-zh,v1,Gemini,premium,high,support_ticket,11,512,0.7849,0.2021
