telemetry_id,vessel_name,vessel_type,speed_knots,beaufort_scale,cargo_weight_tons,route_status,timestamp,fuel_consumption_mt
TEL-10117,MV Fleet_10,Container,11.48,6.0,49585,Underway,2026-05-25 21:41:43.203853,10.57
TEL-10118,MV Fleet_13,LNG Carrier,18.83,9.0,24889,Underway,2026-05-25 21:56:43.203853,19.09
TEL-10119,MV Fleet_19,Tanker,20.85,9.0,6084,Underway,2026-05-25 22:11:43.203853,20.82
TEL-10120,MV Fleet_07,Bulk Carrier,16.99,7.0,38320,Underway,2026-05-25 22:26:43.203853,16.08
TEL-10121,MV Fleet_17,Tanker,19.85,9.0,26944,Underway,2026-05-25 22:41:43.203853,17.11
TEL-10122,MV Fleet_20,Tanker,18.59,5.0,38921,Underway,2026-05-25 22:56:43.203853,15.04
TEL-10123,MV Fleet_04,Bulk Carrier,13.69,5.0,26857,Underway,2026-05-25 23:11:43.203853,11.62
TEL-10124,MV Fleet_05,Bulk Carrier,20.94,8.0,23070,Underway,2026-05-25 23:26:43.203853,20.37
TEL-10125,MV Fleet_07,LNG Carrier,12.72,4.0,29475,Underway,2026-05-25 23:41:43.203853,5.43
TEL-10126,MV Fleet_13,LNG Carrier,17.14,9.0,27219,Anchored,2026-05-25 23:56:43.203853,19.76
TEL-10127,MV Fleet_15,Container,19.93,7.0,46457,Underway,2026-05-26 00:11:43.203853,15.48
TEL-10128,MV Fleet_11,Container,14.06,7.0,36489,Underway,2026-05-26 00:26:43.203853,13.4
TEL-10129,MV Fleet_04,Tanker,12.84,3.0,28178,Underway,2026-05-26 00:41:43.203853,9.72
TEL-10130,MV Fleet_13,Bulk Carrier,15.35,4.0,18483,Anchored,2026-05-26 00:56:43.203853,11.14
TEL-10131,MV Fleet_07,Container,21.09,7.0,49927,Underway,2026-05-26 01:11:43.203853,16.61
TEL-10132,MV Fleet_19,Tanker,22.88,5.0,38573,Moored,2026-05-26 01:26:43.203853,16.88
TEL-10133,MV Fleet_02,Bulk Carrier,16.72,3.0,38688,Underway,2026-05-26 01:41:43.203853,9.84
TEL-10134,MV Fleet_10,LNG Carrier,18.58,1.0,36529,Underway,2026-05-26 01:56:43.203853,6.64
TEL-10135,MV Fleet_13,Tanker,22.45,7.0,39211,Underway,2026-05-26 02:11:43.203853,19.14
TEL-10136,MV Fleet_06,LNG Carrier,9.58,6.0,44816,Underway,2026-05-26 02:26:43.203853,10.3
TEL-10137,MV Fleet_12,Container,11.71,7.0,38978,Underway,2026-05-26 02:41:43.203853,13.7
TEL-10138,MV Fleet_12,Container,19.34,2.0,34677,Underway,2026-05-26 02:56:43.203853,9.71
TEL-10139,MV Fleet_20,Bulk Carrier,21.18,4.0,21004,Underway,2026-05-26 03:11:43.203853,13.94
TEL-10140,MV Fleet_11,Tanker,21.71,2.0,15272,Underway,2026-05-26 03:26:43.203853,13.37
TEL-10141,MV Fleet_07,LNG Carrier,14.64,8.0,11212,Underway,2026-05-26 03:41:43.203853,17.25
TEL-10142,MV Fleet_01,Bulk Carrier,9.43,7.0,26071,Underway,2026-05-26 03:56:43.203853,13.81
TEL-10143,MV Fleet_01,Container,15.0,1.0,48108,Underway,2026-05-26 04:11:43.203853,4.7
TEL-10144,MV Fleet_20,Container,11.69,2.0,14700,Underway,2026-05-26 04:26:43.203853,3.34
TEL-10145,MV Fleet_13,Tanker,12.66,2.0,34980,Underway,2026-05-26 04:41:43.203853,5.71
TEL-10146,MV Fleet_09,LNG Carrier,20.36,4.0,22297,Underway,2026-05-26 04:56:43.203853,11.98
TEL-10147,MV Fleet_03,Tanker,9.21,3.0,46349,Underway,2026-05-26 05:11:43.203853,7.14
TEL-10148,MV Fleet_07,LNG Carrier,21.24,1.0,33625,Underway,2026-05-26 05:26:43.203853,8.42
TEL-10149,MV Fleet_06,LNG Carrier,14.84,2.0,33831,Underway,2026-05-26 05:41:43.203853,8.91
TEL-10150,MV Fleet_08,Tanker,17.54,9.0,34367,Underway,2026-05-26 05:56:43.203853,16.1
TEL-10151,MV Fleet_09,Bulk Carrier,9.43,1.0,40338,Underway,2026-05-26 06:11:43.203853,2.9
TEL-10152,MV Fleet_05,Tanker,13.4,9.0,25121,Moored,2026-05-26 06:26:43.203853,17.36
TEL-10153,MV Fleet_01,Tanker,9.44,7.0,40547,Underway,2026-05-26 06:41:43.203853,10.85
TEL-10154,MV Fleet_19,Container,23.38,2.0,29914,Underway,2026-05-26 06:56:43.203853,12.85
TEL-10155,MV Fleet_10,Container,20.92,2.0,49396,Anchored,2026-05-26 07:11:43.203853,11.34
TEL-10156,MV Fleet_12,Tanker,15.35,5.0,22178,Underway,2026-05-26 07:26:43.203853,11.01
TEL-10157,MV Fleet_15,Tanker,11.58,5.0,6722,Anchored,2026-05-26 07:41:43.203853,14.05
TEL-10158,MV Fleet_09,Container,22.94,4.0,18885,Underway,2026-05-26 07:56:43.203853,12.55
TEL-10159,MV Fleet_20,LNG Carrier,13.51,3.0,5102,Underway,2026-05-26 08:11:43.203853,5.82
TEL-10160,MV Fleet_17,Tanker,10.58,4.0,32435,Underway,2026-05-26 08:26:43.203853,7.5
TEL-10161,MV Fleet_17,Bulk Carrier,17.01,4.0,18262,Moored,2026-05-26 08:41:43.203853,11.23
TEL-10162,MV Fleet_20,Bulk Carrier,23.1,2.0,12453,Underway,2026-05-26 08:56:43.203853,8.9
TEL-10163,MV Fleet_12,Bulk Carrier,8.06,5.0,47407,Underway,2026-05-26 09:11:43.203853,9.82
TEL-10164,MV Fleet_07,Tanker,11.81,5.0,17224,Underway,2026-05-26 09:26:43.203853,13.85
TEL-10165,MV Fleet_02,LNG Carrier,23.02,5.0,11172,Underway,2026-05-26 09:41:43.203853,13.68
TEL-10166,MV Fleet_03,LNG Carrier,10.74,1.0,16252,Underway,2026-05-26 09:56:43.203853,4.06
TEL-10167,MV Fleet_17,Container,9.81,6.0,22918,Underway,2026-05-26 10:11:43.203853,12.38
TEL-10168,MV Fleet_05,Tanker,17.12,2.0,12197,Underway,2026-05-26 10:26:43.203853,9.15
TEL-10169,MV Fleet_17,LNG Carrier,21.79,7.0,36591,Underway,2026-05-26 10:41:43.203853,21.27
TEL-10170,MV Fleet_17,Tanker,15.63,4.0,18677,Anchored,2026-05-26 10:56:43.203853,9.58
TEL-10171,MV Fleet_17,Container,23.91,5.0,16039,Underway,2026-05-26 11:11:43.203853,19.3
TEL-10172,MV Fleet_02,Container,18.87,5.0,32785,Anchored,2026-05-26 11:26:43.203853,13.31
TEL-10173,MV Fleet_02,Container,9.19,5.0,9570,Underway,2026-05-26 11:41:43.203853,8.47
TEL-10174,MV Fleet_05,Bulk Carrier,23.89,2.0,11706,Underway,2026-05-26 11:56:43.203853,14.63
TEL-10175,MV Fleet_01,Tanker,14.53,5.0,16655,Underway,2026-05-26 12:11:43.203853,10.73
TEL-10176,MV Fleet_01,Container,12.6,3.0,38202,Underway,2026-05-26 12:26:43.203853,9.08
TEL-10177,MV Fleet_19,Tanker,16.93,4.0,14449,Underway,2026-05-26 12:41:43.203853,10.17
TEL-10178,MV Fleet_02,Bulk Carrier,12.87,2.0,29630,Underway,2026-05-26 12:56:43.203853,4.17
TEL-10179,MV Fleet_12,Bulk Carrier,9.38,4.0,14122,Underway,2026-05-26 13:11:43.203853,5.89
TEL-10180,MV Fleet_06,Container,8.02,9.0,15991,Underway,2026-05-26 13:26:43.203853,15.94
TEL-10181,MV Fleet_04,Container,15.19,8.0,29887,Underway,2026-05-26 13:41:43.203853,14.48
TEL-10182,MV Fleet_11,LNG Carrier,21.39,3.0,18859,Underway,2026-05-26 13:56:43.203853,11.49
TEL-10183,MV Fleet_17,Tanker,17.16,1.0,28640,Underway,2026-05-26 14:11:43.203853,5.55
TEL-10184,MV Fleet_06,Container,23.99,1.0,30532,Underway,2026-05-26 14:26:43.203853,9.06
TEL-10185,MV Fleet_05,LNG Carrier,12.59,6.0,44229,Underway,2026-05-26 14:41:43.203853,10.83
TEL-10186,MV Fleet_20,Tanker,12.49,3.0,43764,Underway,2026-05-26 14:56:43.203853,7.74
TEL-10187,MV Fleet_02,Container,10.56,4.0,42620,Underway,2026-05-26 15:11:43.203853,3.73
TEL-10188,MV Fleet_06,LNG Carrier,10.63,1.0,7512,Underway,2026-05-26 15:26:43.203853,4.99
TEL-10189,MV Fleet_11,LNG Carrier,12.56,8.0,20446,Anchored,2026-05-26 15:41:43.203853,13.01
TEL-10190,MV Fleet_16,Tanker,20.69,1.0,26912,Underway,2026-05-26 15:56:43.203853,6.65
TEL-10191,MV Fleet_16,LNG Carrier,22.49,5.0,39031,Underway,2026-05-26 16:11:43.203853,13.29
TEL-10192,MV Fleet_01,Tanker,23.6,6.0,40515,Moored,2026-05-26 16:26:43.203853,18.03
TEL-10193,MV Fleet_09,Tanker,11.72,2.0,20416,Underway,2026-05-26 16:41:43.203853,7.82
TEL-10194,MV Fleet_06,Tanker,22.1,7.0,12280,Underway,2026-05-26 16:56:43.203853,18.01
TEL-10195,MV Fleet_16,Bulk Carrier,13.25,7.0,15974,Underway,2026-05-26 17:11:43.203853,14.39
TEL-10196,MV Fleet_03,LNG Carrier,9.81,1.0,48746,Underway,2026-05-26 17:26:43.203853,4.25
TEL-10197,MV Fleet_20,Tanker,21.92,4.0,48775,Underway,2026-05-26 17:41:43.203853,14.72
TEL-10198,MV Fleet_04,Container,18.18,4.0,41531,Underway,2026-05-26 17:56:43.203853,10.03
TEL-10199,MV Fleet_19,Bulk Carrier,10.64,5.0,17227,Anchored,2026-05-26 18:11:43.203853,12.12
TEL-10200,MV Fleet_03,Bulk Carrier,14.88,1.0,18031,Underway,2026-05-26 18:26:43.203853,4.94
TEL-10201,MV Fleet_19,LNG Carrier,12.6,1.0,48283,Underway,2026-05-26 18:41:43.203853,4.89
TEL-10202,MV Fleet_20,Tanker,19.79,7.0,38000,Underway,2026-05-26 18:56:43.203853,16.67
TEL-10203,MV Fleet_07,LNG Carrier,15.25,9.0,7028,Underway,2026-05-26 19:11:43.203853,16.94
TEL-10204,MV Fleet_20,Bulk Carrier,23.83,1.0,35433,Underway,2026-05-26 19:26:43.203853,11.68
TEL-10205,MV Fleet_09,Tanker,8.88,2.0,23313,Anchored,2026-05-26 19:41:43.203853,5.59
TEL-10206,MV Fleet_01,Container,13.68,6.0,14650,Underway,2026-05-26 19:56:43.203853,9.14
TEL-10207,MV Fleet_08,Tanker,15.71,6.0,31224,Underway,2026-05-26 20:11:43.203853,13.95
TEL-10208,MV Fleet_07,Bulk Carrier,16.05,2.0,35364,Underway,2026-05-26 20:26:43.203853,10.63
TEL-10209,MV Fleet_18,Container,13.05,9.0,23361,Moored,2026-05-26 20:41:43.203853,16.93
TEL-10210,MV Fleet_08,Tanker,19.67,4.0,7413,Underway,2026-05-26 20:56:43.203853,11.57
TEL-10211,MV Fleet_01,Container,22.0,7.0,45794,Underway,2026-05-26 21:11:43.203853,17.58
TEL-10212,MV Fleet_11,Container,23.02,6.0,36070,Underway,2026-05-26 21:26:43.203853,16.43
TEL-10213,MV Fleet_18,Bulk Carrier,20.88,3.0,43186,Anchored,2026-05-26 21:41:43.203853,9.78
TEL-10214,MV Fleet_10,Container,21.61,8.0,27409,Underway,2026-05-26 21:56:43.203853,19.15
TEL-10215,MV Fleet_03,LNG Carrier,16.81,7.0,34854,Anchored,2026-05-26 22:11:43.203853,15.06
TEL-10216,MV Fleet_07,Bulk Carrier,21.21,9.0,36206,Moored,2026-05-26 22:26:43.203853,21.6
TEL-10217,MV Fleet_16,LNG Carrier,12.86,3.0,34655,Underway,2026-05-26 22:41:43.203853,6.79
TEL-10218,MV Fleet_16,Container,14.38,1.0,14952,Underway,2026-05-26 22:56:43.203853,8.23
TEL-10219,MV Fleet_20,LNG Carrier,13.07,2.0,41365,Underway,2026-05-26 23:11:43.203853,4.76
TEL-10220,MV Fleet_17,Tanker,15.48,1.0,22762,Underway,2026-05-26 23:26:43.203853,5.93
TEL-10221,MV Fleet_02,Container,12.57,5.0,5620,Underway,2026-05-26 23:41:43.203853,9.34
TEL-10222,MV Fleet_01,Tanker,23.39,2.0,38697,Anchored,2026-05-26 23:56:43.203853,10.69
TEL-10223,MV Fleet_16,LNG Carrier,13.01,3.0,20455,Underway,2026-05-27 00:11:43.203853,7.22
TEL-10224,MV Fleet_12,Tanker,9.57,8.0,27210,Underway,2026-05-27 00:26:43.203853,14.17
TEL-10225,MV Fleet_05,Container,16.43,5.0,5974,Anchored,2026-05-27 00:41:43.203853,13.37
TEL-10226,MV Fleet_05,Tanker,8.91,4.0,17679,Underway,2026-05-27 00:56:43.203853,6.95
TEL-10227,MV Fleet_09,LNG Carrier,9.77,5.0,32429,Underway,2026-05-27 01:11:43.203853,7.18
TEL-10228,MV Fleet_09,LNG Carrier,11.51,,23073,Underway,2026-05-27 01:26:43.203853,13.6
TEL-10229,MV Fleet_03,LNG Carrier,15.43,7.0,9671,Underway,2026-05-27 01:41:43.203853,13.22
TEL-10230,MV Fleet_19,Container,14.93,9.0,35365,Moored,2026-05-27 01:56:43.203853,17.09
TEL-10231,MV Fleet_16,LNG Carrier,20.8,1.0,13917,Underway,2026-05-27 02:11:43.203853,8.55
TEL-10232,MV Fleet_16,Container,19.83,4.0,46121,Anchored,2026-05-27 02:26:43.203853,12.27
TEL-10233,MV Fleet_03,Tanker,14.82,9.0,12784,Underway,2026-05-27 02:41:43.203853,15.3
TEL-10234,MV Fleet_20,LNG Carrier,13.34,5.0,38426,Underway,2026-05-27 02:56:43.203853,12.07
TEL-10235,MV Fleet_01,Tanker,13.06,8.0,40665,Underway,2026-05-27 03:11:43.203853,10.93
TEL-10236,MV Fleet_20,Bulk Carrier,20.38,1.0,17291,Underway,2026-05-27 03:26:43.203853,9.69
TEL-10237,MV Fleet_11,Tanker,8.83,4.0,23926,Underway,2026-05-27 03:41:43.203853,9.36
TEL-10238,MV Fleet_17,Bulk Carrier,8.21,9.0,31154,Underway,2026-05-27 03:56:43.203853,16.29
TEL-10239,MV Fleet_08,Tanker,20.73,1.0,30650,Underway,2026-05-27 04:11:43.203853,7.97
TEL-10240,MV Fleet_04,Container,15.63,1.0,8205,Underway,2026-05-27 04:26:43.203853,5.98
